name,city,stars,text,sentiment_score
DoubleTree by Hilton Hotel Philadelphia Center City,Philadelphia,3.0,"Booked a 1 King Bed Executive on the 24th floor and the view of the city from that high above was amazing. However, I had a couple of problems with the professionalism of the staff which is why I rated three stars instead of five. I can't help but make this personal and say that I wasn't treated with equal warmness and courtesy because of my appearance. Coming from a red eye flight, I arrived at the hotel with sweatpants and frazzled hair. I do have tattoos and I'm in my early twenties so I felt like the staff regarded me as not as significant as the other guests. I had a couple of rude stares initially and when I visited the executive lounge (which requires a key) for some breakfast I received an almost, ""Who let you in?"" look from the woman serving breakfast. With that said, the room service operator seemed quite irritated whenever she took my orders but the actual room service deliverers were quite friendly, so I made sure to tip them well. Food and beverage could do some work, it's the not the worst but definitely not the best, especially for the price. I had free wi-fi with my stay, so that was very nice and convenient. Overall, I would stay again at the DoubleTree in Center City just because my stay wasn't awful but the staff definitely needs to brush up on their services techniques and courtesies. Just because someone is young and underdressed and has tattoos does not make them less worthy of respect. My money is as good as anyone else's.",0.09419540229885057
JW Marriott Indianapolis,Indianapolis,3.0,"The hotel was beautiful as we stayed there for a conference AFLV. 

Wait Staff Review 
The main reason I leave this bad review is because of the banquet staff. Our waitress was very rude and not accommodating. Our waitress ignored one of our members could not have asparagus or he would die. We mistakenly forgot to get a meal card for his allergy we had on file for the conference. She said he did not have a card (piece of paper) that would not allow her to make any adjustments or alternations to the meal. This is a conference of almost 5,000 ppl and not all 5,000 were at the banquet. A vegetarian plate could not be swiped out for the chicken and asparagus plate? Or a plate brought out without asparagus? This makes no sense to me. After she told us no, I asked another waiter and he explained to me no accommodations without a card because of their supervisors. He apologized but said it was not allowed (he was nice). Once our waitress saw I asked him, she scolded me and said she was my waitress and not to ask anyone else. Then proceeded NOT to attend to our table of 12 people the rest of the night. Empty water glasses and plates, were then taken up by another waiter much later. I can understand that they have certain rules placed on them by their superiors but the way she spoke to us and reacted was up acceptable. Not to mention we contacted AFLV and they said they received similar complaints from people. So JW Marriott please have a conversation with your wait staff, we can understand policy but somethings are exceptions or at least speak to people with respect.",-0.023549783549783543
Embassy Suites by Hilton Tampa Downtown Convention Center,Tampa,1.0,The kid at the front desk refused to get a manager or supervisor after I asked. The kid named derick told me I was touchy...very rude. Turns out the supervisor was nearby and I talked to him. (They all gave me different info so I gave up). The AC did not work properly in room. The restaurant and breakfast ran out of certain food items. The valet parking(only parking there) was backed up. They werent ready for a busy week but they were ready to jack up the price.,0.05918367346938776
DoubleTree by Hilton Hotel Philadelphia Center City,Philadelphia,1.0,"Managed more like Motel 6 than Hilton property. Long check-in lines due to no priority access line for Hilton Honors members. Surly, rude room service staff berates hotel guests who have questions. Property in borderline rundown condition. No accountability by management.",0.0062500000000000056
Grand Hyatt Tampa Bay,Tampa,1.0,"THE most disgusting hotel I have ever stayed at. Found food in the bed GROSS! Spoke with the front desk & they were unconcerned & rude. We tried the hotel lounge, service was very slow especially considering there were hardly any people there. The only redeeming factor up at this hotel was the roof top restaurant where we had perfect service & a lovely time. I explained our experience with the bartender who turned around & told the restaurant manager, she came over very concerned & apologetic. Not at all what I expected from a Grand Hyatt.",0.10788888888888887
Philadelphia Marriott Old City,Philadelphia,1.0,"From the rude condescending tone of the front desk personnel upon arriving at the hotel to check in on our reservation, the unhelpful service personnel by phone as I entered our room and it reeked of smoke.  The random dirty socks that were left in the room, generally shabby room with exposed thermostat, or the difficultly getting the dog bowls from valet service.  This was an abhorrent experience from walking in to leaving.",-0.36428571428571427
Embassy Suites by Hilton Tampa Downtown Convention Center,Tampa,2.0,"To be fair, we were here to chaperone a group of high school students at the Florida State Thespian Festival.  It was a mob scene for 5 days.  That is a difficult situation, and I think it is fair to grade the hotel on a bit of a curve...

That being said -- it was still a 2 star experience.

Check-in was awful.  Some of the rooms were not ready until after 7pm.  That caused a lot of difficulties.  I know there were a lot of check-ins, but it wasn't exactly a surprise to the hotel.

On the second day, the hotel deactivated all our hotel room keys for failure to pay the first night's parking fee.  Really?  Sounds like their problem in not securing incidentals with a credit card, which we were happy to do.

The hotel ran out of extra pillows.

At least one of us did not have maid service at all on day.  We went down to the front desk for fresh towels at least, but were told they had to be delivered.  Unfortunately, the towels were never delivered at all.

We specifically asked the front desk staff not to issue replacement keys to students -- so the chaperones could control room access.  They did so anyway.

The hotel gift/sundry shop closes for an hour in the afternoon for lunch?  Really?

Finally -- the Starbucks in the lobby is the slowest I have ever seen and the staff is quite rude.

We have to make a decision on where to stay next year.  Despite the wonderful location next to the convention center -- I don't think it is going to be here.",0.032824074074074075
Embassy Suites by Hilton Tampa Downtown Convention Center,Tampa,1.0,"If I could give zero stars I would. Huge disappointment. 
Terrible service all around. Front desk attendant upon my arrival was rude, couldn't find a luggage cart for me to use. I asked to be away from the elevator four times and was given a room that faced the elevator. The couch had a stain as did the walls. Could hear music and people talking from the lobby all night. I love Hilton hotels and always stay at one - this was a huge let down and I will be sure to never stay at this location again. For the price go somewhere else.",-0.006172839506172843
JW Marriott Indianapolis,Indianapolis,3.0,"Giving them the benefit of the doubt-wish I could do 2.5 stars.  The hotel is quite nice, very good location.  But my experiences with the valets and bellhops dissuaded me from even trying the restaurants, bars, or any other amenity or service in the hotel.  The place got transformed into truly just a bed and a bathroom, which is unacceptable at those prices.  

The valet system and bellhops have a system that forces tips.  I refuse forced tips.  I even had a bellhop RUN and pull a luggage cart out of my hand when he saw me push it myself.   When I told him I can push it myself, he ignored me and started walking faster.  As soon as the valets found out that I can park my own car, they reminded me that I can charge valet plus tips to my room fees, 6 times.  As in, they reminded me 6 times.  Wanna push your own luggage cart?  Think again.  They will gladly send one up to your room, even though you clearly walked out of your way to come get a luggage cart.  Sorry JW Marriot, but the relentless fishing for tips isn't indicative of a high service level, it's indicative of a hustle.  I didn't even want to deal with waiters, waitresses, bartenders, etc at that point.  I just wanted to stop being seen as a 'mark.' 

Advice: mentally prepare yourself for persistent, nagging handout seekers.  Do what you have to from that point",0.22227272727272726
DoubleTree by Hilton Hotel Philadelphia Center City,Philadelphia,1.0,"*do not stay here*

Oh how lovely to wake up Tuesday morning and be peppered with insect bites after sleeping in the second bed in my hotel room at The DoubleTree by Hilton Center City Philadelphia. What else is lovely is how rude and inconsiderate the staff has been on the matter. How they have the nerve to say to me, ""where else have you been?"" Where they have the gaul to lock me out of my room as I handle the matter. You told my boss I was angry and making a scene and drawing other guests into, which is absolutely not true. Why? Because I'm a black woman? Maybe I should have made a scene because clearly the diplomatic route is pointless. Where they insist I am lying because they can't find a bed bug when they ""inspect."" Absence of evidence is not proof. You know what is proof? The bites in these photos that I did not have Monday night when I showered and went to bed, but definitely had Tuesday morning when I woke up and now on Wednesday are swollen enough to make movements difficult. Where they send a man to a woman's room to come and inspect my things who then mansplains to me about bed bugs. The service at this establishment is already awful and I could let pretty much all of that slide, but I have been HARMED by this hotel and the staff's behavior is just kneading the harm. I have stayed at this chain before and enjoyed my stay (Scottsdale location is stellar!), so I was looking forward to my stay at The DoubleTree by Hilton City Center Philadelphia. Apparently my expectations were too high for even subpar service. Whatever happened to, ""if you're not satisfied with your stay, let us know and we'll make it right?"" So reads the sign in all your guest rooms. I did let you know and you belittled me, embarrassed me, ignored me, locked me out, and then gave me a sack of your cookies on my way out the door. I've had better experiences at hostels! Time to call the Department of Health. BUT FOR sleeping in this bed, at this hotel, I would not have hot welts the size of my hand on my torso and I wouldn't have to burn all my things. Now I am making a scene.",0.00940917107583774
